Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
r0552,67.49907,-151.78578,-2.601653632,0,"Glycine, serine, alanine, and threonine metabolism"
r0629,56.6632,-141.37503,-2.337787295,0,Bile acid synthesis
r0641,103.3205,-663.405,-1.368946142,0,Fatty acid oxidation
r0642,-6.9100876,-882.3637,-0.984459033,0,Miscellaneous
r0643,6.9100876,125.96673,0.89599258,0,"Valine, leucine, and isoleucine metabolism"
r0686,30.255932,-275.6486,-1.24659198,0,Arginine and proline metabolism
r0688,-429.59045,125.98291,1.829906289,0,Bile acid synthesis
r0739,-429.59045,125.98291,1.829906289,0,Bile acid synthesis
r0797,-171.22871,14.0839405,1.179247962,0,Bile acid synthesis
r0840,19.247677,-365.98398,-1.111021987,0,"Transport, endoplasmic reticular"
r0841,-162.82558,336.288,2.877358444,0,"Transport, endoplasmic reticular"
r0913,61.568775,-260.74094,-1.618246749,0,"Transport, mitochondrial"
r0917,100.63582,-186.08305,-3.355508221,0,"Transport, mitochondrial"
r0960,4.8818617,833.35657,0.988352092,0,"Transport, endoplasmic reticular"
r0998,-189.42696,85.477325,2.644591288,0,"Transport, endoplasmic reticular"
r1050,702.1141,19.29023,-0.946520337,0,"Transport, extracellular"
r1078,23.446486,327.73038,0.866469072,0,"Transport, mitochondrial"
r1154,7.5369196,-192.53099,-1.081482823,0,Propanoate metabolism
r1515,2.7142427,74.43072,0.929632662,0,"Transport, extracellular"
r1544,-708.01227,593.3502,11.34954857,0,"Transport, extracellular"
r1546,745.94354,42.52883,-0.892123476,0,"Transport, extracellular"
r1547,-373.41467,96.59975,1.697937344,0,"Transport, extracellular"
r1548,-73.102974,131.20345,3.516432661,0,"Transport, extracellular"
r1553,491.48715,-557.41766,-15.90924687,0,"Transport, extracellular"
r1556,-545.43976,486.1378,17.39535306,0,"Transport, extracellular"
r1557,-34.80789,645.75775,1.113946807,0,"Transport, extracellular"
r1559,376.93967,-60.154324,-1.379779688,0,"Transport, extracellular"
r1560,359.19513,-662.2,-3.37088668,0,"Transport, extracellular"
r1562,-9.227994,-818.0253,-0.97769004,0,"Transport, extracellular"
r1570,-421.75156,484.9892,14.33861384,0,"Transport, extracellular"
r1576,-271.88766,115.90261,2.486073271,0,"Transport, extracellular"
