Reaction,S1K,S1K_FC5,fc,pval,subSystem
EX_urate[e],13.559342,877.285,0.969558448,0,Exchange/demand reaction
FOLt2,-534.4581,98.04807,1.449339174,0,"Transport, extracellular"
FUCASE2e,10.9071455,671.11005,0.968015043,0,Keratan sulfate degradation
FUCASEe,106.68035,1.4136951,-0.973843238,0,N-glycan degradation
G6PDH2rer,304.9591,-86.04168,-1.786065201,0,Pentose phosphate pathway
GLXtm,9.813433,-4.2464566,-2.525588153,0,"Transport, mitochondrial"
GLXtp,3.6116734,-0.23748069,-1.140762963,0,"Transport, peroxisomal"
GSNt,141.79413,-118.189865,-11.01427743,0,"Transport, extracellular"
H2O2t,28.909903,-51.939793,-3.510642122,0,"Transport, extracellular"
H4ETer,1.3017485,15.334763,0.843507032,0,Phosphatidylinositol phosphate metabolism
HEXCt,3.9267552,-1.5745414,-2.338774118,0,"Transport, extracellular"
HPDCACRNCPT1,1.0176945,-0.51368064,-3.038359355,0,Fatty acid oxidation
HPDCACRNCPT2,1.0176945,-0.51368064,-3.038359355,0,Fatty acid oxidation
HSD11B1r,585.2866,-161.82193,-1.764275888,0,Steroid metabolism
HSD11B2r,-278.2773,291.02994,44.6423418,0,Steroid metabolism
HSD3A1r,854.6541,80.76337,-0.827321238,0,Steroid metabolism
HSD3A2r,-705.0131,-29.673466,0.919221438,0,Steroid metabolism
IDHPOXOX4,46.424225,2.887281,-0.882896251,0,Tyrosine metabolism
INSt,-258.28708,95.81536,2.179471285,0,"Transport, extracellular"
ITCOAL1m,-7.2844257,-303.6398,-0.953143402,0,C5-branched dibasic acid metabolism
ITCOALm,14.360778,303.6398,0.909680806,0,C5-branched dibasic acid metabolism
LEUKTRA4t,-257.58774,185.72615,6.168998211,0,"Transport, extracellular"
LEUKTRF4t,687.88824,39.592304,-0.89115227,0,"Transport, extracellular"
LEUtec,20.904846,596.4885,0.932280309,0,"Transport, extracellular"
LGNCCOAtx,-9.951534,14.646703,5.239053843,0,"Transport, peroxisomal"
LGNCt,20.041891,368.7883,0.896911857,0,"Transport, extracellular"
LNLNCAt,5.3629823,0.46186778,-0.841414714,0,"Transport, extracellular"
MANt1r,-174.3768,200.6622,14.26795654,0,"Transport, extracellular"
MECOALm,654.95764,40.590923,-0.883283707,0,C5-branched dibasic acid metabolism
MECOAS1m,-654.95764,-40.590923,0.883283707,0,C5-branched dibasic acid metabolism
MMMm,33.086884,853.7908,0.925385685,0,"Valine, leucine, and isoleucine metabolism"
MTHFCm,-363.63956,-26.896591,0.862258118,0,Folate metabolism
MTHFD2m,-399.96234,258.4715,4.653543485,0,Folate metabolism
MTHFDm,36.32281,-285.36807,-1.291696435,0,Folate metabolism
NDPK10,-564.87244,60.65495,1.240590412,0,Nucleotide interconversion
NDPK10n,564.87244,-60.65495,-1.240590412,0,Nucleotide interconversion
NDPK1m,121.3469,-534.50757,-1.587407899,0,Nucleotide interconversion
NDPK1n,314.50522,-346.3903,-20.72743918,0,Nucleotide interconversion
NDPK2n,-568.7676,-23.417437,0.92091176,0,Nucleotide interconversion
NDPK4n,-398.65082,46.77672,1.265871896,0,Nucleotide interconversion
NDPK8n,355.0926,-179.45047,-3.043365005,0,Nucleotide interconversion
NRVNCCOAtx,3.6269863,-0.10780292,-1.061265868,0,"Transport, peroxisomal"
ODECOAtx,-5.562542,2.715752,2.907939743,0,"Transport, peroxisomal"
ORNt3m,12.667882,392.3106,0.937439237,0,"Transport, mitochondrial"
ORNt4m,22.702187,-569.1359,-1.08309219,0,"Transport, mitochondrial"
ORNTArm,-27.78941,257.69324,1.24174813,0,Urea cycle
PA_HStg,-100.30072,-5.0280094,0.904527295,0,"Transport, golgi apparatus"
PCHOLPg_hs,100.30072,5.0280094,-0.904527295,0,Glycerophospholipid metabolism
PGDIr,29.427063,406.32495,0.864936654,0,Eicosanoid metabolism
PGESr,-6.2430334,511.30194,1.024722001,0,Eicosanoid metabolism
PGISr,174.23828,-58.927593,-2.022066525,0,Eicosanoid metabolism
