Reaction,fc,pval,Clus,Disp,subSystem
CYTK4,1.3090036601599753,0,-34.57148514557164,258.33249255676867,Nucleotide interconversion
CYTK4n,-2.7356117544704177,0,95.36019055776298,-205.2467366843879,Nucleotide interconversion
CYTK5,1.5989396830415679,0,-61.090564176856354,265.0862782915831,Nucleotide interconversion
CYTK5n,0.39977111965273476,0,-696.2597598190307,-298.5596789357334,Nucleotide interconversion
CYTK6,-0.5617166970045778,0,592.0649439743042,166.15829217333197,Nucleotide interconversion
CYTK7n,-0.4308157081673819,0,397.17839774213434,157.9991775038749,Nucleotide interconversion
CYTK8,3.470082054675055,0,-313.47207213978396,173.2186860472679,Nucleotide interconversion
CYTK8n,2.0150121030149544,0,-576.2357416870117,193.99134465073644,Nucleotide interconversion
CYTK9,-1.0575609548878204,0,670.9833961158753,-18.770984598319234,Nucleotide interconversion
CYTK9n,-0.782625083844698,0,634.8327293563843,77.41207759674266,Nucleotide interconversion
D3AIBTm,-4.807796591027408,0,150.6113842787182,-229.71822766085415,Pyrimidine catabolism
DADA,0.6432559355637059,0,6.892000339292796,31.746345894627737,Nucleotide interconversion
DALAt2r,0.3307615441074838,0,-575.0550381439209,-289.1945198482275,"Transport, extracellular"
DASCBR,-0.8861209418306486,0,612.5972995605468,36.98702557394486,Vitamin C metabolism
DCK1n,0.3790656195076856,0,-358.33126608848573,-161.34127308540343,Nucleotide interconversion
DCK2n,-1.6759017723857097,0,9.374648693382275,-37.114326487961414,Nucleotide interconversion
DCSPTN1CRNt,0.5506986401846474,0,-450.99101877230703,-130.67070077186673,Fatty acid oxidation
DCYTD,-0.6057388305078089,0,703.6077212341308,172.7586066719055,Pyrimidine catabolism
DESAT18_3,0.5410030618805851,0,4.7190115037890585,15.843267291026505,Fatty acid synthesis
DESAT18_6,-0.4328841906753606,0,5.071838854697854,2.0073638997234182,Fatty acid synthesis
DESAT18_8,-0.6329488539561829,0,20.825550943073257,4.681127839447965,Fatty acid synthesis
DESAT22_2p,0.43320886580221485,0,2.425491269007107,6.133186249617301,Fatty acid synthesis
DESAT24_1,0.5488372387036388,0,2.139422573932219,7.344616258460991,Fatty acid synthesis
DGK2m,0.491764576260391,0,18.507965236565774,54.32428679491878,Nucleotide interconversion
DGNSKm,0.491764576260391,0,18.507965236565774,54.32428679491878,Nucleotide interconversion
DGSNt,4.022120131503538,0,-186.1404084063053,112.01219023061702,"Transport, extracellular"
DGSNtm,0.491764576260391,0,18.507965236565774,54.32428679491878,"Transport, mitochondrial"
DHAAt1r,-0.9090628830663069,0,608.5710334976196,28.988932594374567,"Transport, extracellular"
DHEAtr,0.8201203080352855,0,-252.05784007320403,-24.910488844883663,"Transport, endoplasmic reticular"
DHPM1,0.6386365475847915,0,4.701430988904068,21.319080811509547,Pyrimidine catabolism
DHPM2,-0.6504718876706983,0,49.886173097514735,10.564627028404177,Pyrimidine catabolism
DIDPtn,0.4918853716207323,0,161.919214602381,475.41419624176024,"Transport, nuclear"
DIGALSGALSIDEtg,0.6637051959278576,0,-5.287999386330301,-1.0688953318846703,"Transport, golgi apparatus"
DINt,1.4632246092121166,0,-33.22993858826514,176.7021891009692,"Transport, extracellular"
DITPtn,-0.4918853716207323,0,-161.919214602381,-475.41419624176024,"Transport, nuclear"
D_LACt2,-1.5614685354929743,0,170.84819336738587,-37.449565978426115,"Transport, extracellular"
