Reaction,fc,pval,subSystem
r2359,-2.604199206878265,0,"Transport, extracellular"
r2360,-6.981998054490586,0,"Transport, extracellular"
r2362,-0.8704154799359063,0,"Transport, extracellular"
r2363,-2.6971910796566494,0,"Transport, extracellular"
r2364,0.953368317775553,0,"Transport, extracellular"
r2366,-1.3948939178901323,0,"Transport, extracellular"
r2368,-1.6519855928999203,0,"Transport, extracellular"
r2371,-1.0027522946496383,0,"Transport, mitochondrial"
r2372,1.5193612568899884,0,"Transport, mitochondrial"
r2373,-0.842985099796188,0,"Transport, mitochondrial"
r2374,1.1737348045340634,0,"Transport, mitochondrial"
r2375,-2.4105144243262413,0,"Transport, mitochondrial"
r2376,-0.8290519652710306,0,"Transport, mitochondrial"
r2377,-13.861925932871053,0,"Transport, mitochondrial"
r2393,-0.9879039530085637,0,"Transport, mitochondrial"
r2438,1.0782945475171637,0,"Transport, mitochondrial"
r2507,-1.7711952731707765,0,"Transport, endoplasmic reticular"
r2525,1.3211956318553293,0,"Transport, extracellular"
r2526,-1.8450380755659261,0,"Transport, extracellular"
r2532,5.8431197359358835,0,"Transport, extracellular"
r2538,-1.5812090170918647,0,"Transport, endoplasmic reticular"
EX_sprm[e],1.3150879015442634,0,Exchange/demand reaction
RE0577C,-1.4995543243746303,0,Fatty acid synthesis
RE0936E,-4.716253269485946,0,Miscellaneous
RE0937E,-1.8920262483632628,0,Miscellaneous
RE1100R,1.6255530020307136,0,Steroid metabolism
RE2112R,0.8467479132874207,0,Bile acid synthesis
RE2304E,-3.1394765507601576,0,Miscellaneous
RE2349C,1.8133322654147093,0,Tryptophan metabolism
RE2766C,-1.1367018249399232,0,Steroid metabolism
RE2888C,-0.8604886292284736,0,Purine catabolism
RE2954C,-0.9792015573340042,0,Pyrimidine synthesis
RE3012C,2.094070578556441,0,Eicosanoid metabolism
RE3036C,-1.1219099293408759,0,Arachidonic acid metabolism
RE3038C,-0.9678684485024767,0,Arachidonic acid metabolism
EX_CE2915[e],4.716253269485946,0,Exchange/demand reaction
EX_CE4722[e],-4.716253269485946,0,Exchange/demand reaction
EX_CE2916[e],1.8920262483632628,0,Exchange/demand reaction
EX_CE4723[e],-1.8920262483632628,0,Exchange/demand reaction
EX_CE5787[e],-3.1394765507601576,0,Exchange/demand reaction
EX_CE5791[e],-3.1394765507601576,0,Exchange/demand reaction
EX_CE0074[e],-0.8604886292284736,0,Exchange/demand reaction
C140CPT1,-2.442318288368268,0,Fatty acid oxidation
C4tmc,-0.8828622455918761,0,"Transport, mitochondrial"
FAOXC12DCTc,1.5899403848963134,0,Fatty acid oxidation
FAOXC12DCx,1.5899403848963134,0,Fatty acid oxidation
ALAALACNc,-3.370791761429929,0,"Transport, extracellular"
ALAATB0tc,-0.8367973109294057,0,"Transport, extracellular"
GLYGLYCNc,-3.381079247076104,0,"Transport, extracellular"
