GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
100189183	0	0.7565	0	0	0	0
105376805	0	0.355	0	0.3585	0	1.34035
791226	0	0	0	0	0	0
26870	1.03475	0	0.71425	0.34535	0.2271	0.68565
9696	5.7219999999999995	3.7555	5.6739999999999995	3.4135	6.909	6.463
4237	0.1962	0	0.38139999999999996	0.047565	0.04246	0.5235
105376806	0.14695	0	0.13495	0	0.0938	0.28205
23400	17.615000000000002	17.185	17.494999999999997	16.525	35.32	31.75
6390.1	134.89999999999998	151.10000000000002	139.25	158.95	94.65	82.515
11240.1	0.6030500000000001	0.134075	0.25595	0.08607	11.1585	0.5745
105376808	0	0	0	0	0	0
400743	2.05	0.3785	1.42345	0.37925	1.30975	0.47764999999999996
29943.1	0.69595	0.22865000000000002	0.47995	0.15316	1.209	0.5559000000000001
51702.1	0.7897	0.6824	0.64235	0.5353	0.6812	2.0495
100616188	1.9815	0.64	0	1.937	0.4281	0
23569.1	0.018475	0	0	0	0.05785	0.52023
353238.1	0	0	0	0	0	0.631
55920	154.14999999999998	126.4	157.55	127.75	166.55	162.3
55160	3.53	2.524	2.8245	2.467	4.0035	4.9205000000000005
107984028	0	0	0	0	0	0
81569	0.05955	0.05715	0.02733	0.20085	0	0.457305
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	0	0	0	0.042805	0.6962
105376814	0	0	0	0	0	0
127707	0.034	0	0.098315	0	0.08579500000000001	0.508
5081	0.009015	0.0086	0.00982	0	0.007715	0.23362
80834	0	0	0	0	0.014775	0.7105
8659.2	18.48	16.39	17.895	15.459999999999999	17.725	17.035
100616120	0	0	0	0	0	2.276
