Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
PCHOLPm_hs,-0.9579352282668031,0,0.01699881426626888,0.791222106274408,Choline Phosphatase,Glycerophospholipid metabolism,5337.1,NA,"PMID:11481335,PMID:8530346"
PCHOLPr_hs,0.8858061291097482,0,255.16020646657944,15.451074860664457,Choline Phosphatase,Glycerophospholipid metabolism,5337.1,NA,"PMID:11481335,PMID:8530346"
PETOHMm_hs,-0.9579352282668031,0,0.01699881426626888,0.791222106274408,Phosphatidylethanolamine N-Methyltransferase,Glycerophospholipid metabolism,10400.2 or 10400.1 or 10400.3,NA,PMID:9989271
PGESr,-0.7357147021102272,0,7.955937515115738,52.25125205343885,Prostaglandin E Synthase,Eicosanoid metabolism,80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3,NA,PMID:11847219
PGLer,0.9765158447736202,0,598.645556855774,7.112862373432517,"6-Phosphogluconolactonase, Endoplasmic Reticulum",Pentose phosphate pathway,9563.1,NA,"PMID:10349511,PMID:12831846,PMID:2156506"
PGLYCt,0.7304361067032643,0,4.213674600934982,0.6563978445165325,Phosphatidylglycerol Transport,"Transport, extracellular",NA,NA,"PMID:2164460,PMID:6290284"
PGPP_hs,-1,0,NA,3.9102449752515476,Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens),Glycerophospholipid metabolism,114971.1,NA,PMID:10799718
PGPPT,-0.991343132651128,0,0.01699881426626888,3.9102449752515476,Phosphatidyl-CMP: Glycerophosphate Phosphatidyltransferase,Glycerophospholipid metabolism,9489.1,NA,PMID:10799718
PHEMEtm,-0.829880194181217,0,2.9815908807139846,32.07124575242996,Transport of Heme,"Transport, mitochondrial",NA,R01512,NA
PHEtec,1.0099947322450167,0,0.3902592747628689,-78.48325170233845,Transport of L-Phenylalanine  via Diffusion,"Transport, extracellular",117247.1 or 124935.1 or 8501.1,NA,"PMID:11827462,PMID:14624363,PMID:15659399"
PI3P4K,-0.4966055047329877,0,0.2376772738214262,0.7066209894933388,Phosphatidylinositol 3-Phosphate 4-Kinase,Inositol phosphate metabolism,55361.1 or 5297.1 or 8394.1 or 23396.1 or 8395.1 or 5298.1,NA,"PMID:10358929,PMID:9211928,PMID:9367159"
PI45P5P,0.6825791192940982,0,7.932909091105591,1.4965542846597382,"Phosphatidylinositol-4, 5-Bisphosphate 5-Phosphatase",Inositol phosphate metabolism,8867.1 or 56623.1 or 4952.1 or 8871.1 or 8867.2 or 4952.2 or 3633.1,NA,"PMID:10764818,PMID:12915445,PMID:7721860,PMID:7761412"
PI45PLC,0.6424665554452051,0,13.024280404773354,2.835135863514687,"Phosphatidylinositol 4, 5-Bisphosphate Phospholipase C",Inositol phosphate metabolism,23236.2 or 5336.1 or 9651.1 or 113026.1 or 89869.1 or 84812.1 or 5330.1 or 5335.1 or 51196.1 or 5333.1 or 5332.2 or 5331.1 or 5335.2 or 5334.1 or 5332.1 or 257068.1 or 23236.1 or 23007.1,NA,"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"
PI5P4K,-0.5658164793802725,0,0.20953693651211944,0.755662922814826,Phosphatidylinositol-5-Phosphate 4-Kinase,Inositol phosphate metabolism,5297.1 or 55361.1 or 5298.1,NA,"PMID:10358929,PMID:9211928,PMID:9367159"
