Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem,rxnNames,geneRules,kegg,source
SUCOASm,0.6041942195151021,0,-186.4319111987114,-755.6054232248306,Citric acid cycle,Succinate- Coenzyme A Ligase (ADP-Forming),8802.1 and 8803.1,NA,PMID:9765291
T4HCINNMFM,-0.9941779325904717,0,1.385717605970199,474.6368044631958,Ubiquinone synthesis,4-Hydroxycinnamate Formation,NA,NA,"PMID:11583838,PMID:12232327"
TAURt4_2_r,0.9940863657957196,0,-2.706749364733696e-8,-9.12719964981079e-6,"Transport, extracellular",Taurine Transport (Sodium Symport) (2:1),6533.1,NA,PMID:12719981
TCHOLAt,1,0,297.75904535054565,0,"Transport, extracellular",Taurocholate Transport via Bicarbonate Antiport,28231.1 or 6579.1 or 28234.1 or 10599.1,NA,"PMID:12507753,PMID:9007731,PMID:9334206"
TETHEX3t,0.4924880884905802,0,9.568440786654369,3.2536927505470703,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
TETPENT3t,0.49472443430249885,0,11.926977306110592,4.0317867742748605,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
TETPENT6CPT1,-0.7225440113260615,0,-470.73891464195253,-75.82350878148712,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2,NA,NA
TETPENT6CPT2,-0.7225440113260615,0,-470.73891464195253,-75.82350878148712,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
TETPENT6CRNt,-0.7225440113260615,0,-470.73891464195253,-75.82350878148712,Fatty acid oxidation,Transport into the Mitochondria (Carnitine),788.1,NA,NA
TETPENT6t,0.5681188312122691,0,27.70399886990243,7.630056583644083,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
TETTET6COAtx,-0.3742250514847399,0,6.055912032286591,13.299007964607188,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
TETTET6CPT1,-0.8514945236283428,0,-520.8241378005981,-41.77448850259802,Fatty acid oxidation,Carnitine O-Palmitoyltransferase,1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2,NA,NA
TETTET6CPT2,-0.8514945236283428,0,-520.8241378005981,-41.77448850259802,Fatty acid oxidation,Carnitine Transferase,1376.1,NA,NA
TETTET6CRNt,-0.8514945236283428,0,-520.8241378005981,-41.77448850259802,Fatty acid oxidation,Transport into the Mitochondria (Carnitine),788.1,NA,NA
THBPT4ACAMDASE,0.90448524552096,0,483.5367580898762,24.250592037488783,Tetrahydrobiopterin metabolism,Tetrahydrobiopterin-4A-Carbinolamine Dehydratase,5092.1 or 5092.2,NA,PMID:10727395
THCHOLSTOICtm,-1.2117226117021578,0,-0.2753003875654191,2.8758765409778806,"Transport, peroxisomal","Lipid, Flip-Flop Intracellular Transport",NA,NA,PMID:12840657
THFt2,-0.830285189721451,0,22.04406896909848,237.7337186372757,"Transport, extracellular",Tetrahydrofolate Transport via Anion Antiport,6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
THFtm,-4.725616304945348,0,-150.13892969208555,230.7371005197108,"Transport, mitochondrial","5, 6, 7, 8-Tetrahydrofolate Transport, Diffusion, Mitochondrial",NA,NA,PMID:11375437
THRCYSNaEx,-0.7087580132924458,0,9.565812030609697,56.12397493142644,"Transport, extracellular",L-Cysteine/L-Threonine Na-Dependent Exchange (Thr-L In),6509.1 or 6510.1,NA,PMID:14530974
THRGLNNaEx,-0.7192819632798962,0,3.1233707303240896,19.129354935738593,"Transport, extracellular",L-Threonine/L-Glutamine Na-Dependent Exchange (Thr-L In),6510.1,NA,PMID:14530974
THYMDt1,1,0,0.3116167824625969,NA,"Transport, extracellular",Thymd Transport,3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422,PMID:9693094"
THYMDtm,1,0,11.365474526915698,NA,"Transport, mitochondrial",Thymd Transport,2030.1,NA,"PMID:10722669,PMID:12838422,PMID:14607828"
THYOXt,-0.4676600537324104,0,99.78446644994766,275.105553168416,"Transport, extracellular",T4 Transport via Bicarbonate Antiport,53919.1 or 6579.1 or 28231.1 or 10599.1,NA,"PMID:12507753,PMID:9007731,PMID:9334206"
TMABADH,-0.5998510934017821,0,3.3564501483616174,13.419555448633636,Lysine metabolism,4-Trimethylaminobutyraldehyde Dehydrogenase,223.1,NA,"PMID:10702312,PMID:8645224,PMID:8786138"
