Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
HMR_3114,-0.4749808325469405,0,2.9909548747069428,8.402742956236938,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3115,-0.5233421903922308,0,11.516261264966824,36.804613932455375,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,37.1 or 33.1 or 34.1 or 28976.1,NA,NA
HMR_3116,-0.6602166541336649,0,6.791704752011945,33.184973532177324,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3117,-0.6602166541336649,0,6.791704752011945,33.184973532177324,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3118,-0.6602166541336649,0,6.791704752011945,33.184973532177324,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3121,0.36442844717828604,0,16.050533723210073,7.476583080024967,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,37.1 or 33.1 or 34.1 or 28976.1,NA,PMID:13295225;PMID:1540149
HMR_3142,0.4058318868584971,0,36.613393439581316,15.474475361571589,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,34.1 or 28976.1,NA,PMID:13295225;PMID:3597357
HMR_3194,-0.4495081209598973,0,2.0727497704187687,5.45778737041259,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,34.1 or 28976.1,NA,NA
HMR_3195,-0.4495081209598973,0,2.0727497704187687,5.45778737041259,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3196,-0.4495081209598973,0,2.0727497704187687,5.45778737041259,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3197,-0.4495081209598973,0,2.0727497704187687,5.45778737041259,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
HMR_3198,-0.5935067676324268,0,2.0727497704187687,8.125450865524297,Fatty acid oxidation,Medium-Chain Acyl Coenzyme A Dehydrogenase,34.1 or 28976.1,NA,NA
HMR_3199,-0.5935067676324268,0,2.0727497704187687,8.125450865524297,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,3030.1 or 1892.1,NA,NA
HMR_3200,-0.5935067676324268,0,2.0727497704187687,8.125450865524297,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,3028.1 or 3030.1 or 3033.1,NA,NA
HMR_3201,-0.5935067676324268,0,2.0727497704187687,8.125450865524297,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,3030.1 or 3032.1 or 10449.1,NA,NA
