Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
UMPKn,0.9999992822027793,0.0029834509456791087,-0.15568231242373584,-5.587418563663963e-8,Nucleotide interconversion,"UMP Kinase, Nuclear",51727.1,NA,"PMID:10462544,PMID:11912132"
URAt,-0.654804957314071,0,-82.70721837598647,-396.4840106315315,"Transport, extracellular",Uracil Transport via Faciliated Diffusion,3177.1,NA,"PMID:12006583,PMID:12838422"
URATEtx,-0.4574480071339603,0,19.77880409498089,7.362890151629632,"Transport, peroxisomal",Urate Export from Peroxisome,NA,NA,NA
URIDK2m,1.0139406972980451,0,-597.5669458911896,4.136417680601468,Nucleotide interconversion,"Uridylate Kinase (dUMP), Mitochondrial",1841.1,NA,PMID:17999954
VALt4,-0.5691505633958984,0.0036561878488537434,0.9474181122146547,0.2601372802574187,"Transport, extracellular",L-Valine Transport in via Sodium Symport,11254.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:11133652,PMID:12719981"
VALt5m,-1.2864662113874479,0,46.61380165027823,-5.8401384156113485,"Transport, mitochondrial",Valine Reversible Mitochondrial Transport,NA,NA,PMID:11004451
VALTAm,-1.2864662113874479,0,46.61380165027823,-5.8401384156113485,"Valine, leucine, and isoleucine metabolism","Valine Transaminase, Mitochondiral",587.1,NA,"PMID:6933702,PMID:9165094"
VALtec,1.0130625190635891,1.2765295060260678e-12,-11.025865233813809,0.07154550514221192,"Transport, extracellular",L-Valine Transport via Diffusion (Extracellular to Cytosol),8501.1 or 124935.1,NA,"PMID:12930836,PMID:14624363,PMID:15659399"
VLCSp,0.5750003966727689,0,3.4755317793625466,12.879927153555746,Bile acid synthesis,Very-Long-Chain-Fatty-Acid Coenzyme A Ligase,11001.1,NA,NA
VLCSr,0.3952069423327306,0,3.8531067127924277,8.888794550605468,Bile acid synthesis,Very-Long-Chain-Fatty-Acid Coenzyme A Ligase,11001.1,NA,NA
WHDDCAte,-0.37416797030106297,0,-5.569422513421451,-12.229035376631504,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
WHTSTSTERONEte,0.35897176080459553,0,10.208758773269901,21.642439501812543,"Transport, extracellular",Omega Hydroxy Testosterone Transport,NA,NA,NA
XANDp,-0.5895610284057894,0,15.627099242995772,4.035057747187337,Purine catabolism,"Xanthine Dehydrogenase, Peroxisomal",7498.1,NA,"PMID:12637268,PMID:8670112"
XANtx,-0.6076530876069867,0,16.00905601005113,3.9070019174471793,"Transport, peroxisomal",Xanthine Diffusion in Peroxisome,NA,NA,NA
XOLTRI24te,-0.8058028614168444,0,-2.183630711894014,-20.30517347776175,"Transport, extracellular",24 Trihydroxy Cholesterol Transport,NA,NA,NA
XYLTD_Dr,0.5479634305875888,0,11.060040929909642,37.87423420754774,Pentose phosphate pathway,Xylitol Dehydrogenase (D-Xyulose-Forming),NA,NA,PMID:6821187
XYLtly,0.38786373081883574,0,19.504167873641475,44.220753702175614,"Transport, lysosomal",Xylose Efflux from Lysosome,NA,NA,"PMID:1751541,PMID:8993166"
XYLUR,0.41211470641552206,0,-533.0941007972717,-221.93535732722432,Pentose phosphate pathway,Xylulose Reductase,51181.1,NA,"PMID:11882650,PMID:6821187"
