Reaction,fc,pval,S1C1,S1K1,subSystem,rxnNames,geneRules,kegg,source
ARGDCm,-0.7900260314398594,0,302.9205983903885,35.53324872682411,Arginine and proline metabolism,"Arginine Decarboxylase, Mitochondrial",113451.1,NA,PMID:14752610
ARGNm,-0.5751840187836075,0,85.11124810746647,22.953901224344666,Urea cycle,"Arginase, Mitochondrial",384.1,NA,PMID:9144563
ARGt4,0.73045608035906,0,10.365240848445891,66.54423544212263,"Transport, extracellular",L-Arginine Transport in via Sodium Symport,11254.1,NA,"PMID:11133652,PMID:12719981"
R_group_phosphotase_1,-0.7781826796122363,0,27.585653434305637,3.4411401011270333,Miscellaneous,R Group Phosphotase 1,NA,NA,NA
ASAH1,0.42612832907461246,0,48.242150109473805,119.88655375800133,Sphingolipid metabolism,N-Acylsphingosine Amidohydrolase,427.1 or 427.2,NA,PMID:8955159
ASNCYSNaEx,0.5137992814190997,0,11.706557653155922,36.44868854773193,"Transport, extracellular",L-Cysteine/L-Asparagine Na-Dependent Exchange (Asn-L In),6510.1,NA,PMID:14530974
ASNSERNaEx,0.624054657682219,0,17.221477772253753,74.39544540109783,"Transport, extracellular",L-Serine/L-Asparagine Na-Dependent Exchange (Asn-L In),6510.1,NA,PMID:14530974
ASPCTr,-0.46644893088050365,0,396.8735170934081,144.39799770133124,Pyrimidine synthesis,Aspartate Carbamoyltransferase (Reversible),790.1,NA,"PMID:2565865,PMID:8619816"
ASPGLUm,-0.7002457764075779,0,87.94566026302911,15.50486610598571,"Transport, mitochondrial",Aspartate-Glutamate Mitochondrial Shuttle,8604.1 or 10165.1,NA,PMID:14598172
ASPt6,0.8711768452679598,0,1.5891388322537532,23.082494703802023,"Transport, extracellular","L-Aspartate Transport via Na, H Symport And K Antiport",6511.1 or 6505.1 or 6507.1 or 6506.1 or 6512.1,NA,PMID:14530974
ATPtn,0.4934183273734864,0,13.696098608053243,40.376519286084175,"Transport, nuclear",ATP Diffusion in Nucleus,NA,NA,NA
